metric,metric_desc
0,go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.
5,go_goroutines,Number of goroutines that currently exist.
6,go_info,Information about the Go environment.
7,go_memstats_alloc_bytes,Number of bytes allocated and still in use.
8,go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed."
9,go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.
10,go_memstats_frees_total,Total number of frees.
11,go_memstats_gc_cpu_fraction,The fraction of this program's available CPU time used by the GC since the program started.
12,go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.
13,go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.
14,go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.
15,go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.
16,go_memstats_heap_objects,Number of allocated objects.
17,go_memstats_heap_released_bytes,Number of heap bytes released to OS.
18,go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.
19,go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.
20,go_memstats_lookups_total,Total number of pointer lookups.
21,go_memstats_mallocs_total,Total number of mallocs.
22,go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures.
23,go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.
24,go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.
25,go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system.
26,go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.
27,go_memstats_other_sys_bytes,Number of bytes used for other system allocations.
28,go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.
29,go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.
30,go_memstats_sys_bytes,Number of bytes obtained from system.
31,go_threads,Number of OS threads created.
32,node_arp_entries,ARP entries by device
33,node_boot_time_seconds,"Node boot time, in unixtime."
34,node_context_switches_total,Total number of context switches.
35,node_cooling_device_cur_state,Current throttle state of the cooling device
43,node_cooling_device_max_state,Maximum throttle state of the cooling device
51,node_cpu_guest_seconds_total,Seconds the CPUs spent in guests (VMs) for each mode.
67,node_cpu_seconds_total,Seconds the CPUs spent in each mode.
131,node_disk_io_now,The number of I/Os currently in progress.
136,node_disk_io_time_seconds_total,Total seconds spent doing I/Os.
141,node_disk_io_time_weighted_seconds_total,The weighted # of seconds spent doing I/Os.
146,node_disk_read_bytes_total,The total number of bytes read successfully.
151,node_disk_read_time_seconds_total,The total number of seconds spent by all reads.
156,node_disk_reads_completed_total,The total number of reads completed successfully.
161,node_disk_reads_merged_total,The total number of reads merged.
166,node_disk_write_time_seconds_total,This is the total number of seconds spent by all writes.
171,node_disk_writes_completed_total,The total number of writes completed successfully.
176,node_disk_writes_merged_total,The number of writes merged.
181,node_disk_written_bytes_total,The total number of bytes written successfully.
186,node_entropy_available_bits,Bits of available entropy.
187,node_entropy_pool_size_bits,Bits of entropy pool.
188,node_exporter_build_info,"A metric with a constant '1' value labeled by version, revision, branch, and goversion from which node_exporter was built."
189,node_filefd_allocated,File descriptor statistics: allocated.
190,node_filefd_maximum,File descriptor statistics: maximum.
191,node_filesystem_avail_bytes,Filesystem space available to non-root users in bytes.
200,node_filesystem_device_error,Whether an error occurred while getting statistics for the given device.
209,node_filesystem_files,Filesystem total file nodes.
218,node_filesystem_files_free,Filesystem total free file nodes.
227,node_filesystem_free_bytes,Filesystem free space in bytes.
236,node_filesystem_readonly,Filesystem read-only status.
245,node_filesystem_size_bytes,Filesystem size in bytes.
254,node_forks_total,Total number of forks.
255,node_intr_total,Total number of interrupts serviced.
256,node_load1,1m load average.
257,node_load15,15m load average.
258,node_load5,5m load average.
259,node_memory_Active_anon_bytes,Memory information field Active_anon_bytes.
260,node_memory_Active_bytes,Memory information field Active_bytes.
261,node_memory_Active_file_bytes,Memory information field Active_file_bytes.
262,node_memory_AnonHugePages_bytes,Memory information field AnonHugePages_bytes.
263,node_memory_AnonPages_bytes,Memory information field AnonPages_bytes.
264,node_memory_Bounce_bytes,Memory information field Bounce_bytes.
265,node_memory_Buffers_bytes,Memory information field Buffers_bytes.
266,node_memory_Cached_bytes,Memory information field Cached_bytes.
267,node_memory_CmaFree_bytes,Memory information field CmaFree_bytes.
268,node_memory_CmaTotal_bytes,Memory information field CmaTotal_bytes.
269,node_memory_CommitLimit_bytes,Memory information field CommitLimit_bytes.
270,node_memory_Committed_AS_bytes,Memory information field Committed_AS_bytes.
271,node_memory_DirectMap2M_bytes,Memory information field DirectMap2M_bytes.
272,node_memory_DirectMap4k_bytes,Memory information field DirectMap4k_bytes.
273,node_memory_Dirty_bytes,Memory information field Dirty_bytes.
274,node_memory_HardwareCorrupted_bytes,Memory information field HardwareCorrupted_bytes.
275,node_memory_HugePages_Free,Memory information field HugePages_Free.
276,node_memory_HugePages_Rsvd,Memory information field HugePages_Rsvd.
277,node_memory_HugePages_Surp,Memory information field HugePages_Surp.
278,node_memory_HugePages_Total,Memory information field HugePages_Total.
279,node_memory_Hugepagesize_bytes,Memory information field Hugepagesize_bytes.
280,node_memory_Inactive_anon_bytes,Memory information field Inactive_anon_bytes.
281,node_memory_Inactive_bytes,Memory information field Inactive_bytes.
282,node_memory_Inactive_file_bytes,Memory information field Inactive_file_bytes.
283,node_memory_KernelStack_bytes,Memory information field KernelStack_bytes.
284,node_memory_Mapped_bytes,Memory information field Mapped_bytes.
285,node_memory_MemAvailable_bytes,Memory information field MemAvailable_bytes.
286,node_memory_MemFree_bytes,Memory information field MemFree_bytes.
287,node_memory_MemTotal_bytes,Memory information field MemTotal_bytes.
288,node_memory_Mlocked_bytes,Memory information field Mlocked_bytes.
289,node_memory_NFS_Unstable_bytes,Memory information field NFS_Unstable_bytes.
290,node_memory_PageTables_bytes,Memory information field PageTables_bytes.
291,node_memory_SReclaimable_bytes,Memory information field SReclaimable_bytes.
292,node_memory_SUnreclaim_bytes,Memory information field SUnreclaim_bytes.
293,node_memory_Shmem_bytes,Memory information field Shmem_bytes.
294,node_memory_Slab_bytes,Memory information field Slab_bytes.
295,node_memory_SwapCached_bytes,Memory information field SwapCached_bytes.
296,node_memory_SwapFree_bytes,Memory information field SwapFree_bytes.
297,node_memory_SwapTotal_bytes,Memory information field SwapTotal_bytes.
298,node_memory_Unevictable_bytes,Memory information field Unevictable_bytes.
299,node_memory_VmallocChunk_bytes,Memory information field VmallocChunk_bytes.
300,node_memory_VmallocTotal_bytes,Memory information field VmallocTotal_bytes.
301,node_memory_VmallocUsed_bytes,Memory information field VmallocUsed_bytes.
302,node_memory_WritebackTmp_bytes,Memory information field WritebackTmp_bytes.
303,node_memory_Writeback_bytes,Memory information field Writeback_bytes.
304,node_netstat_Icmp6_InErrors,Statistic Icmp6InErrors.
305,node_netstat_Icmp6_InMsgs,Statistic Icmp6InMsgs.
306,node_netstat_Icmp6_OutMsgs,Statistic Icmp6OutMsgs.
307,node_netstat_Icmp_InErrors,Statistic IcmpInErrors.
308,node_netstat_Icmp_InMsgs,Statistic IcmpInMsgs.
309,node_netstat_Icmp_OutMsgs,Statistic IcmpOutMsgs.
310,node_netstat_Ip6_InOctets,Statistic Ip6InOctets.
311,node_netstat_Ip6_OutOctets,Statistic Ip6OutOctets.
312,node_netstat_IpExt_InOctets,Statistic IpExtInOctets.
313,node_netstat_IpExt_OutOctets,Statistic IpExtOutOctets.
314,node_netstat_Ip_Forwarding,Statistic IpForwarding.
315,node_netstat_TcpExt_ListenDrops,Statistic TcpExtListenDrops.
316,node_netstat_TcpExt_ListenOverflows,Statistic TcpExtListenOverflows.
317,node_netstat_TcpExt_SyncookiesFailed,Statistic TcpExtSyncookiesFailed.
318,node_netstat_TcpExt_SyncookiesRecv,Statistic TcpExtSyncookiesRecv.
319,node_netstat_TcpExt_SyncookiesSent,Statistic TcpExtSyncookiesSent.
320,node_netstat_TcpExt_TCPSynRetrans,Statistic TcpExtTCPSynRetrans.
321,node_netstat_Tcp_ActiveOpens,Statistic TcpActiveOpens.
322,node_netstat_Tcp_CurrEstab,Statistic TcpCurrEstab.
323,node_netstat_Tcp_InErrs,Statistic TcpInErrs.
324,node_netstat_Tcp_InSegs,Statistic TcpInSegs.
325,node_netstat_Tcp_OutRsts,Statistic TcpOutRsts.
326,node_netstat_Tcp_OutSegs,Statistic TcpOutSegs.
327,node_netstat_Tcp_PassiveOpens,Statistic TcpPassiveOpens.
328,node_netstat_Tcp_RetransSegs,Statistic TcpRetransSegs.
329,node_netstat_Udp6_InDatagrams,Statistic Udp6InDatagrams.
330,node_netstat_Udp6_InErrors,Statistic Udp6InErrors.
331,node_netstat_Udp6_NoPorts,Statistic Udp6NoPorts.
332,node_netstat_Udp6_OutDatagrams,Statistic Udp6OutDatagrams.
333,node_netstat_Udp6_RcvbufErrors,Statistic Udp6RcvbufErrors.
334,node_netstat_Udp6_SndbufErrors,Statistic Udp6SndbufErrors.
335,node_netstat_UdpLite6_InErrors,Statistic UdpLite6InErrors.
336,node_netstat_UdpLite_InErrors,Statistic UdpLiteInErrors.
337,node_netstat_Udp_InDatagrams,Statistic UdpInDatagrams.
338,node_netstat_Udp_InErrors,Statistic UdpInErrors.
339,node_netstat_Udp_NoPorts,Statistic UdpNoPorts.
340,node_netstat_Udp_OutDatagrams,Statistic UdpOutDatagrams.
341,node_netstat_Udp_RcvbufErrors,Statistic UdpRcvbufErrors.
342,node_netstat_Udp_SndbufErrors,Statistic UdpSndbufErrors.
343,node_network_address_assign_type,address_assign_type value of /sys/class/net/<iface>.
347,node_network_carrier,carrier value of /sys/class/net/<iface>.
350,node_network_carrier_changes_total,carrier_changes_total value of /sys/class/net/<iface>.
354,node_network_device_id,device_id value of /sys/class/net/<iface>.
358,node_network_dormant,dormant value of /sys/class/net/<iface>.
361,node_network_flags,flags value of /sys/class/net/<iface>.
365,node_network_iface_id,iface_id value of /sys/class/net/<iface>.
369,node_network_iface_link,iface_link value of /sys/class/net/<iface>.
373,node_network_iface_link_mode,iface_link_mode value of /sys/class/net/<iface>.
